Pixel FlatCorrection LaserCorrection TotalCorrection
339 1.0125 0.9722 0.9844
340 1.0093 0.9745 0.9836
341 1.0108 0.9722 0.9827
342 1.0100 0.9722 0.9819
343 1.0100 0.9745 0.9842
344 1.0133 0.9674 0.9803
345 1.0141 0.9674 0.9810
346 1.0133 0.9699 0.9828
347 1.0124 0.9698 0.9818
348 1.0117 0.9674 0.9787
349 1.0108 0.9698 0.9803
350 1.0125 0.9674 0.9795
351 1.0116 0.9698 0.9810
352 1.0073 0.9789 0.9860
353 1.0079 0.9767 0.9844
354 1.0073 0.9767 0.9838
355 1.0066 0.9789 0.9854
356 1.0055 0.9811 0.9865
357 1.0044 0.9832 0.9875
358 1.0050 0.9811 0.9860
359 1.0050 0.9832 0.9881
360 1.0055 0.9832 0.9886
361 1.0067 0.9811 0.9877
362 1.0060 0.9811 0.9870
363 1.0062 0.9832 0.9893
364 1.0055 0.9789 0.9843
365 1.0062 0.9767 0.9828
366 1.0060 0.9789 0.9848
367 1.0067 0.9767 0.9832
368 1.0098 0.9674 0.9769
369 1.0093 0.9674 0.9764
370 1.0089 0.9698 0.9784
371 1.0084 0.9698 0.9779
372 1.0081 0.9721 0.9800
373 1.0074 0.9744 0.9816
374 1.0076 0.9721 0.9795
375 1.0069 0.9744 0.9811
376 1.0102 0.9698 0.9797
377 1.0095 0.9698 0.9790
378 1.0110 0.9674 0.9780
379 1.0104 0.9674 0.9775
380 1.0086 0.9745 0.9829
381 1.0094 0.9721 0.9812
382 1.0079 0.9745 0.9822
383 1.0087 0.9721 0.9806
384 1.0049 0.9858 0.9906
385 1.0056 0.9858 0.9913
386 1.0045 0.9878 0.9922
387 1.0052 0.9878 0.9929
388 1.0040 0.9878 0.9918
389 1.0034 0.9878 0.9912
390 1.0038 0.9858 0.9895
391 1.0044 0.9858 0.9901
392 1.0048 0.9898 0.9946
393 1.0046 0.9917 0.9963
394 1.0039 0.9917 0.9956
395 1.0042 0.9898 0.9940
396 1.0033 0.9917 0.9950
397 1.0028 0.9917 0.9945
398 1.0031 0.9898 0.9929
399 1.0036 0.9898 0.9934
400 1.0029 0.9954 0.9983
401 1.0031 0.9936 0.9967
402 1.0026 0.9936 0.9962
403 1.0024 0.9954 0.9978
404 1.0043 0.9936 0.9979
405 1.0035 0.9954 0.9989
406 1.0041 0.9954 0.9995
407 1.0037 0.9936 0.9973
408 1.0027 0.9989 1.0016
409 1.0022 0.9989 1.0011
410 1.0023 0.9972 0.9995
411 1.0028 0.9972 1.0000
412 1.0040 0.9989 1.0029
413 1.0040 0.9972 1.0012
414 1.0033 0.9989 1.0022
415 1.0034 0.9972 1.0006
416 1.0055 0.9898 0.9952
417 1.0052 0.9917 0.9969
418 1.0060 0.9917 0.9977
419 1.0063 0.9898 0.9960
420 1.0074 0.9878 0.9951
421 1.0087 0.9858 0.9944
422 1.0083 0.9878 0.9960
423 1.0078 0.9858 0.9935
424 1.0070 0.9858 0.9927
425 1.0059 0.9878 0.9936
426 1.0066 0.9878 0.9943
427 1.0063 0.9858 0.9920
428 1.0079 0.9898 0.9976
429 1.0077 0.9917 0.9993
430 1.0071 0.9898 0.9968
431 1.0068 0.9917 0.9984
432 1.0062 0.9989 1.0051
433 1.0071 0.9989 1.0060
434 1.0063 0.9972 1.0035
435 1.0071 0.9972 1.0043
436 1.0064 0.9954 1.0018
437 1.0066 0.9936 1.0002
438 1.0072 0.9954 1.0026
439 1.0074 0.9936 1.0010
440 1.0047 0.9972 1.0019
441 1.0055 0.9972 1.0027
442 1.0047 0.9989 1.0036
443 1.0054 0.9989 1.0043
444 1.0050 0.9936 0.9986
445 1.0048 0.9954 1.0002
446 1.0058 0.9936 0.9994
447 1.0056 0.9954 1.0010
448 1.0070 1.0115 1.0186
449 1.0063 1.0115 1.0179
450 1.0066 1.0101 1.0168
451 1.0059 1.0101 1.0161
452 1.0074 1.0101 1.0176
453 1.0083 1.0101 1.0185
454 1.0087 1.0114 1.0202
455 1.0078 1.0115 1.0194
456 1.0055 1.0087 1.0142
457 1.0052 1.0073 1.0125
458 1.0060 1.0073 1.0133
459 1.0063 1.0087 1.0151
460 1.0068 1.0073 1.0141
461 1.0077 1.0073 1.0151
462 1.0079 1.0087 1.0167
463 1.0071 1.0087 1.0159
464 1.0064 1.0043 1.0107
465 1.0066 1.0058 1.0124
466 1.0074 1.0058 1.0132
467 1.0072 1.0043 1.0115
468 1.0050 1.0058 1.0108
469 1.0056 1.0043 1.0099
470 1.0048 1.0043 1.0091
471 1.0058 1.0058 1.0116
472 1.0062 1.0011 1.0073
473 1.0071 1.0011 1.0082
474 1.0071 1.0027 1.0098
475 1.0063 1.0027 1.0090
476 1.0047 1.0011 1.0058
477 1.0047 1.0027 1.0074
478 1.0054 1.0011 1.0065
479 1.0055 1.0027 1.0082
480 1.0048 1.0087 1.0135
481 1.0046 1.0073 1.0119
482 1.0039 1.0073 1.0112
483 1.0042 1.0087 1.0129
484 1.0040 1.0101 1.0141
485 1.0038 1.0115 1.0153
486 1.0034 1.0101 1.0135
487 1.0044 1.0115 1.0160
488 1.0049 1.0115 1.0165
489 1.0052 1.0101 1.0154
490 1.0045 1.0101 1.0146
491 1.0056 1.0115 1.0172
492 1.0031 1.0087 1.0118
493 1.0028 1.0073 1.0101
494 1.0036 1.0087 1.0123
495 1.0033 1.0073 1.0106
496 1.0027 1.0011 1.0038
497 1.0022 1.0011 1.0033
498 1.0028 1.0027 1.0055
499 1.0023 1.0027 1.0050
500 1.0029 1.0043 1.0072
501 1.0031 1.0058 1.0089
502 1.0024 1.0043 1.0067
503 1.0026 1.0058 1.0084
504 1.0040 1.0027 1.0067
505 1.0034 1.0027 1.0061
506 1.0040 1.0011 1.0051
507 1.0033 1.0011 1.0044
508 1.0043 1.0058 1.0101
509 1.0041 1.0043 1.0084
510 1.0037 1.0058 1.0095
511 1.0035 1.0043 1.0078
512 1.0055 1.0131 1.0187
513 1.0062 1.0131 1.0194
514 1.0060 1.0143 1.0204
515 1.0067 1.0143 1.0211
516 1.0055 1.0143 1.0199
517 1.0050 1.0143 1.0194
518 1.0044 1.0131 1.0176
519 1.0050 1.0131 1.0182
520 1.0073 1.0155 1.0229
521 1.0079 1.0167 1.0247
522 1.0073 1.0167 1.0241
523 1.0066 1.0155 1.0222
524 1.0067 1.0167 1.0235
525 1.0062 1.0167 1.0230
526 1.0055 1.0155 1.0211
527 1.0060 1.0155 1.0216
528 1.0081 1.0188 1.0271
529 1.0074 1.0178 1.0253
530 1.0069 1.0178 1.0248
531 1.0076 1.0188 1.0265
532 1.0086 1.0177 1.0265
533 1.0087 1.0188 1.0277
534 1.0094 1.0188 1.0284
535 1.0079 1.0177 1.0257
536 1.0098 1.0207 1.0307
537 1.0093 1.0207 1.0302
538 1.0084 1.0198 1.0284
539 1.0089 1.0198 1.0289
540 1.0110 1.0207 1.0319
541 1.0102 1.0198 1.0302
542 1.0104 1.0207 1.0313
543 1.0095 1.0198 1.0295
544 1.0079 1.0155 1.0235
545 1.0086 1.0167 1.0254
546 1.0094 1.0167 1.0263
547 1.0087 1.0155 1.0243
548 1.0089 1.0143 1.0233
549 1.0093 1.0131 1.0225
550 1.0098 1.0143 1.0242
551 1.0084 1.0131 1.0216
552 1.0076 1.0131 1.0208
553 1.0074 1.0143 1.0218
554 1.0081 1.0143 1.0225
555 1.0069 1.0131 1.0201
556 1.0104 1.0155 1.0261
557 1.0110 1.0166 1.0278
558 1.0095 1.0155 1.0251
559 1.0102 1.0167 1.0271
560 1.0133 1.0207 1.0343
561 1.0141 1.0207 1.0351
562 1.0124 1.0198 1.0324
563 1.0133 1.0198 1.0334
564 1.0116 1.0188 1.0306
565 1.0108 1.0177 1.0287
566 1.0125 1.0188 1.0315
567 1.0117 1.0177 1.0296
568 1.0108 1.0198 1.0308
569 1.0116 1.0198 1.0316
570 1.0117 1.0207 1.0326
571 1.0125 1.0207 1.0335
572 1.0093 1.0177 1.0272
573 1.0100 1.0188 1.0290
574 1.0100 1.0177 1.0279
575 1.0108 1.0188 1.0298
576 1.0217 1.0268 1.0491
577 1.0210 1.0268 1.0484
578 1.0204 1.0263 1.0472
579 1.0197 1.0263 1.0465
580 1.0212 1.0263 1.0481
581 1.0221 1.0263 1.0490
582 1.0234 1.0268 1.0508
583 1.0225 1.0268 1.0499
584 1.0184 1.0257 1.0446
585 1.0172 1.0250 1.0426
586 1.0179 1.0250 1.0433
587 1.0191 1.0256 1.0452
588 1.0187 1.0250 1.0442
589 1.0196 1.0250 1.0451
590 1.0208 1.0256 1.0469
591 1.0199 1.0256 1.0460
592 1.0165 1.0235 1.0404
593 1.0176 1.0243 1.0423
594 1.0184 1.0243 1.0431
595 1.0173 1.0235 1.0412
596 1.0160 1.0243 1.0407
597 1.0157 1.0235 1.0396
598 1.0149 1.0235 1.0388
599 1.0168 1.0243 1.0415
600 1.0144 1.0219 1.0366
601 1.0153 1.0219 1.0375
602 1.0163 1.0227 1.0394
603 1.0154 1.0227 1.0384
604 1.0129 1.0219 1.0351
605 1.0139 1.0227 1.0369
606 1.0136 1.0219 1.0358
607 1.0146 1.0227 1.0376
608 1.0177 1.0257 1.0439
609 1.0165 1.0250 1.0419
610 1.0158 1.0250 1.0412
611 1.0170 1.0257 1.0431
612 1.0177 1.0263 1.0445
613 1.0185 1.0268 1.0458
614 1.0172 1.0263 1.0440
615 1.0190 1.0268 1.0463
616 1.0196 1.0268 1.0469
617 1.0190 1.0263 1.0458
618 1.0183 1.0263 1.0451
619 1.0203 1.0268 1.0476
620 1.0159 1.0257 1.0420
621 1.0147 1.0250 1.0401
622 1.0165 1.0257 1.0426
623 1.0152 1.0250 1.0406
624 1.0110 1.0219 1.0331
625 1.0104 1.0219 1.0325
626 1.0120 1.0227 1.0350
627 1.0114 1.0227 1.0344
628 1.0130 1.0235 1.0368
629 1.0141 1.0243 1.0387
630 1.0125 1.0235 1.0363
631 1.0136 1.0243 1.0382
632 1.0132 1.0227 1.0362
633 1.0125 1.0227 1.0355
634 1.0122 1.0219 1.0344
635 1.0115 1.0219 1.0337
636 1.0153 1.0243 1.0400
637 1.0142 1.0235 1.0380
638 1.0147 1.0243 1.0394
639 1.0136 1.0235 1.0374
640 1.0165 0.9459 0.9615
641 1.0167 0.9459 0.9617
642 1.0152 0.9487 0.9631
643 1.0154 0.9487 0.9633
644 1.0151 0.9487 0.9630
645 1.0150 0.9487 0.9629
646 1.0163 0.9459 0.9613
647 1.0164 0.9459 0.9614
648 1.0141 0.9514 0.9648
649 1.0129 0.9541 0.9664
650 1.0127 0.9541 0.9662
651 1.0139 0.9514 0.9646
652 1.0126 0.9541 0.9661
653 1.0125 0.9541 0.9660
654 1.0137 0.9514 0.9644
655 1.0138 0.9514 0.9645
656 1.0103 0.9593 0.9692
657 1.0114 0.9567 0.9676
658 1.0114 0.9567 0.9676
659 1.0103 0.9593 0.9692
660 1.0117 0.9567 0.9679
661 1.0104 0.9593 0.9693
662 1.0106 0.9593 0.9695
663 1.0115 0.9567 0.9677
