0  1.
5  0.999597
10 0.998374
15 0.996281
20 0.993235
25 0.989103
30 0.983693
35 0.976728
40 0.967806
45 0.956337
50 0.94142
51 0.937911
52 0.934195
53 0.930255
54 0.926074
55 0.921632
56 0.916905
57 0.911867
58 0.906491
59 0.900744
60 0.894588
61 0.887982
62 0.880879
63 0.873222
64 0.864949
65 0.855986
66 0.846247
67 0.835631
68 0.824018
69 0.811268
70 0.797208
71 0.781634
72 0.764292
73 0.744871
74 0.722982
75 0.698132
76 0.669685
77 0.636813
78 0.598409
79 0.552965
80 0.498369
81 0.431572
82 0.347996
83 0.240454
84 0.096961
